Player,Min,ETV
Kevin De Bruyne,1455.0,€20.1M
Kevin Schade,1931.0,€29.7M
Kieran Trippier,1192.0,€5.1M
Kobbie Mainoo,1416.0,€66M
Konstantinos Mavropanos,1944.0,€19.1M
Kristoffer Ajer,1388.0,€21.5M
Kyle Walker,970.0,€4.9M
Kyle Walker-Peters,2828.0,€16.6M
Leandro Trossard,2264.0,€31.8M
Leif Davis,2563.0,€28.2M
Leny Yoro,1069.0,€71M
Leon Bailey,1138.0,€39.2M
Lesley Ugochukwu,1447.0,€27M
Levi Colwill,2789.0,€56.6M
Lewis Cook,2726.0,€19.3M
Lewis Dunk,1993.0,€7.4M
Lewis Hall,2189.0,€34.5M
Liam Delap,2424.0,€37M
Lisandro Martínez,1751.0,€49.2M
Lucas Bergvall,1212.0,€32.6M
Lucas Digne,2241.0,€13.6M
Lucas Paquetá,2257.0,€71.2M
Luis Díaz,2225.0,€71M
Luke Woolfenden,1097.0,€2M
Mads Hermansen,2385.0,€19.8M
Mads Roerslev,1101.0,€71M
Malo Gusto,1819.0,€32.8M
Manuel Akanji,1711.0,€42.8M
Manuel Ugarte Ribeiro,1616.0,€60.4M
Marc Cucurella,2628.0,€39.4M
Marc Guéhi,2879.0,€54.2M
Marcos Senesi,1014.0,€20.4M
Marcus Tavernier,1580.0,€24.4M
Mario Lemina,1364.0,€5.2M
Mark Flekken,2825.0,€13.6M
Martin Ødegaard,2040.0,€126.5M
Mateo Kovačić,1960.0,€25.3M
Mateus Fernandes,2584.0,€22.5M
Matheus Cunha,2341.0,€62.6M
Matheus Nunes,1404.0,€42.3M
Matt Doherty,1901.0,€4.2M
Matthijs de Ligt,2089.0,€52.2M
Matty Cash,1710.0,€32.9M
Matz Sels,2970.0,€9.1M
Max Kilman,2988.0,€36.7M
Maxence Lacroix,2756.0,€27.7M
Micky van de Ven,950.0,€61.8M
Mikel Merino,1401.0,€40.5M
Mikkel Damsgaard,2495.0,€28.6M
Milos Kerkez,2987.0,€61.5M
Mohamed Salah,3011.0,€38.5M
Mohammed Kudus,2331.0,€61.7M
Moisés Caicedo,2991.0,€80.7M
Morgan Gibbs-White,2377.0,€61.7M
Morgan Rogers,2763.0,€69M
Murillo,2838.0,€68.4M
Myles Lewis-Skelly,1078.0,€34.9M
Nathan Collins,2970.0,€33.3M
Neco Williams,2144.0,€23.4M
Nick Pope,2160.0,€11.7M
Nicolas Jackson,2114.0,€66.2M
Nicolás Domínguez,1624.0,€18.8M
Nikola Milenković,2880.0,€38M
Noni Madueke,1723.0,€51.6M
Noussair Mazraoui,2639.0,€43M
Nélson Semedo,2576.0,€8.4M
Ola Aina,2569.0,€18.8M
Oliver Skipp,907.0,€17M
Ollie Watkins,2263.0,€61.4M
Omar Marmoush,916.0,€79.1M
Omari Hutchinson,2223.0,€27.4M
Orel Mangala,1261.0,€24.4M
Pape Matar Sarr,1636.0,€50.8M
Pau Torres,1729.0,€45.3M
Paul Onuachu,984.0,€12.7M
Pedro Neto,1923.0,€60.6M
Pedro Porro,2463.0,€55.9M
Pervis Estupiñán,2132.0,€37.1M
Phil Foden,1686.0,€105.7M
Radu Drăgușin,1252.0,€28.4M
Rasmus Højlund,1744.0,€54.9M
Rayan Aït-Nouri,2775.0,€45M
Raúl Jiménez,2134.0,€5.1M
Riccardo Calafiori,925.0,€49.3M
Rico Lewis,1810.0,€62.7M
Robert Sánchez,2520.0,€24.9M
Rodrigo Bentancur,1518.0,€31.5M
Rodrigo Muniz,964.0,€8.2M
Ryan Christie,2117.0,€16.2M
Ryan Gravenberch,2921.0,€85.3M
Ryan Manning,1369.0,€3.9M
Ryan Yates,1775.0,€18.3M
Rúben Dias,1911.0,€58.5M
Sam Morsy,2419.0,€1.3M
Sammie Szmodics,979.0,€14.1M
Sander Berge,2017.0,€27.8M
Sandro Tonali,2270.0,€52.9M
Santiago Bueno,1678.0,€11.2M
Saša Lukić,2079.0,€12.1M
Sepp van den Berg,2136.0,€26.4M
Son Heung-min,2004.0,€30.7M
Stefan Ortega,1100.0,€5.8M
Stephy Mavididi,1615.0,€12.9M
Sávio,1734.0,€74.8M
Taylor Harwood-Bellis,2564.0,€29.9M
Thomas Partey,2437.0,€15.2M
Timothy Castagne,1625.0,€17.4M
Tomáš Souček,2251.0,€23.2M
Tosin Adarabioyo,1229.0,€24.3M
Toti Gomes,2254.0,€18.6M
Trent Alexander-Arnold,2240.0,€55.8M
Tyler Adams,1620.0,€24.4M
Tyler Dibling,1697.0,€32.7M
Tyrick Mitchell,2852.0,€24.6M
Tyrone Mings,1051.0,€5.8M
Valentino Livramento,2480.0,€49.3M
Victor Bernth Kristiansen,2380.0,€23.9M
Virgil van Dijk,3060.0,€24.3M
Vitaliy Mykolenko,2722.0,€33.5M
Vitaly Janelt,2254.0,€27.1M
Wes Burns,926.0,€2.1M
Wesley Fofana,1172.0,€30.3M
Wilfred Ndidi,2057.0,€20.3M
Will Hughes,1869.0,€11.1M
William Saliba,2814.0,€79.5M
Wout Faes,2455.0,€25M
Yankuba Minteh,1499.0,€42.6M
Yasin Ayari,1737.0,€21.4M
Yehor Yarmoliuk,1039.0,€18M
Yoane Wissa,2470.0,€31.4M
Youri Tielemans,2915.0,€41.5M
Yukinari Sugawara,1467.0,€15.7M
Yves Bissouma,1210.0,€29.8M
Álex Moreno,955.0,€11M
İlkay Gündoğan,1967.0,€12.1M
Łukasz Fabiański,1070.0,€0.9M
