Player,ETV_predicted,ETV_actual
Kyle Walker-Peters,26.52,€16.6M
Leandro Trossard,44.12,€31.8M
Leif Davis,26.78,€28.2M
Leny Yoro,50.91,€71M
Leon Bailey,38.89,€39.2M
Lesley Ugochukwu,25.57,€27M
Levi Colwill,50.06,€56.6M
Lewis Cook,27.02,€19.3M
Lewis Dunk,20.93,€7.4M
Lewis Hall,36.55,€34.5M
Liam Delap,35.8,€37M
Lisandro Martínez,47.92,€49.2M
Lucas Bergvall,30.06,€32.6M
Lucas Digne,18.06,€13.6M
Lucas Paquetá,60.52,€71.2M
Luis Díaz,68.16,€71M
Luke Woolfenden,4.56,€2M
Mads Hermansen,20.96,€19.8M
Mads Roerslev,46.45,€71M
Malo Gusto,35.09,€32.8M
Manuel Akanji,40.88,€42.8M
Manuel Ugarte Ribeiro,50.61,€60.4M
Marc Cucurella,37.88,€39.4M
Marc Guéhi,48.08,€54.2M
Marcos Senesi,20.41,€20.4M
Marcus Tavernier,32.71,€24.4M
Mario Lemina,11.42,€5.2M
Mark Flekken,17.91,€13.6M
Martin Ødegaard,115.12,€126.5M
Mateo Kovačić,30.27,€25.3M
Mateus Fernandes,35.21,€22.5M
Matheus Cunha,62.73,€62.6M
Matheus Nunes,41.12,€42.3M
Matt Doherty,13.57,€4.2M
Matthijs de Ligt,44.63,€52.2M
Matty Cash,28.66,€32.9M
Matz Sels,10.58,€9.1M
Max Kilman,39.43,€36.7M
Maxence Lacroix,25.19,€27.7M
Micky van de Ven,49.97,€61.8M
Mikel Merino,36.62,€40.5M
Mikkel Damsgaard,40.94,€28.6M
Milos Kerkez,54.2,€61.5M
Mohamed Salah,57.12,€38.5M
Mohammed Kudus,57.13,€61.7M
Moisés Caicedo,65.39,€80.7M
Morgan Gibbs-White,57.05,€61.7M
Morgan Rogers,61.0,€69M
Murillo,48.38,€68.4M
Myles Lewis-Skelly,33.06,€34.9M
Nathan Collins,35.92,€33.3M
Neco Williams,24.36,€23.4M
Nick Pope,12.27,€11.7M
Nicolas Jackson,59.22,€66.2M
Nicolás Domínguez,20.14,€18.8M
Nikola Milenković,34.22,€38M
Noni Madueke,56.54,€51.6M
Noussair Mazraoui,40.95,€43M
Nélson Semedo,16.32,€8.4M
Ola Aina,20.82,€18.8M
Oliver Skipp,17.73,€17M
Ollie Watkins,60.99,€61.4M
Omar Marmoush,68.31,€79.1M
Omari Hutchinson,29.35,€27.4M
Orel Mangala,26.62,€24.4M
Pape Matar Sarr,41.76,€50.8M
Pau Torres,39.93,€45.3M
Paul Onuachu,20.07,€12.7M
Pedro Neto,55.73,€60.6M
Pedro Porro,50.96,€55.9M
Pervis Estupiñán,36.08,€37.1M
Phil Foden,89.56,€105.7M
Radu Drăgușin,23.04,€28.4M
Rasmus Højlund,46.72,€54.9M
Rayan Aït-Nouri,45.12,€45M
Raúl Jiménez,21.49,€5.1M
Riccardo Calafiori,42.12,€49.3M
Rico Lewis,51.79,€62.7M
Robert Sánchez,23.68,€24.9M
Rodrigo Bentancur,29.62,€31.5M
Rodrigo Muniz,19.95,€8.2M
Ryan Christie,26.54,€16.2M
Ryan Gravenberch,64.18,€85.3M
Ryan Manning,9.12,€3.9M
Ryan Yates,20.28,€18.3M
Rúben Dias,47.53,€58.5M
Sam Morsy,12.03,€1.3M
Sammie Szmodics,14.2,€14.1M
Sander Berge,28.22,€27.8M
Sandro Tonali,45.56,€52.9M
Santiago Bueno,15.25,€11.2M
Saša Lukić,15.03,€12.1M
Sepp van den Berg,23.88,€26.4M
Son Heung-min,41.36,€30.7M
Stefan Ortega,6.7,€5.8M
Stephy Mavididi,19.63,€12.9M
Sávio,68.79,€74.8M
Taylor Harwood-Bellis,34.41,€29.9M
Thomas Partey,28.34,€15.2M
Timothy Castagne,17.61,€17.4M
Tomáš Souček,22.94,€23.2M
Tosin Adarabioyo,23.59,€24.3M
Toti Gomes,23.15,€18.6M
Trent Alexander-Arnold,50.81,€55.8M
Tyler Adams,24.81,€24.4M
Tyler Dibling,32.08,€32.7M
Tyrick Mitchell,26.43,€24.6M
Tyrone Mings,14.25,€5.8M
Valentino Livramento,41.95,€49.3M
Victor Bernth Kristiansen,26.67,€23.9M
Virgil van Dijk,32.9,€24.3M
Vitaliy Mykolenko,29.32,€33.5M
Vitaly Janelt,23.6,€27.1M
Wes Burns,8.92,€2.1M
Wesley Fofana,28.06,€30.3M
Wilfred Ndidi,22.71,€20.3M
Will Hughes,13.48,€11.1M
William Saliba,61.1,€79.5M
Wout Faes,34.12,€25M
Yankuba Minteh,43.17,€42.6M
Yasin Ayari,20.57,€21.4M
Yehor Yarmoliuk,19.39,€18M
Yoane Wissa,37.14,€31.4M
Youri Tielemans,50.88,€41.5M
Yukinari Sugawara,18.68,€15.7M
Yves Bissouma,30.51,€29.8M
Álex Moreno,10.77,€11M
İlkay Gündoğan,27.99,€12.1M
Łukasz Fabiański,5.43,€0.9M
