Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count
Diogo Dalot,pt POR,Manchester Utd,DF,26-040,32.0,31.0,2788.0,0.0,3.0,5.0,0.0,2.0,2.0,62.0,102.0,164.0,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.0,15.6,1659.0,80.5,21497.0,89.9,81.9,26.0,61.0,25.0,8.0,102.0,74.0,2.39,5.0,0.16,67.0,39.0,52.0,21.0,22.0,9.0,13.0,37.0,1965.0,113.0,658.0,767.0,557.0,66.0,53.0,50.9,41.5,1111.0,2684.0,62.0,37.0,16.0,37.0,21.0,1186.0,164.0,40.0,9.0,4.0,65.0,164.0,38.0,64.4,72
Diogo Jota,pt POR,Liverpool,FW,28-144,22.0,13.0,1074.0,6.0,3.0,2.0,0.0,7.3,1.8,36.0,33.0,85.0,0.5,0.25,0.61,0.15,N/a,N/a,N/a,N/a,28.9,1.09,0.13,12.4,281.0,68.7,2864.0,75.5,73.3,11.0,28.0,3.0,1.0,33.0,35.0,2.94,9.0,0.75,13.0,7.0,19.0,28.0,9.0,0.0,9.0,6.0,436.0,5.0,28.0,180.0,235.0,88.0,30.0,36.7,60.0,240.0,753.0,36.0,21.0,20.0,36.0,21.0,304.0,85.0,18.0,12.0,1.0,8.0,38.0,21.0,42.9,72
Djed Spence,eng ENG,Tottenham,DF,24-261,20.0,15.0,1424.0,1.0,2.0,4.0,1.0,0.5,1.7,52.0,94.0,67.0,0.06,0.13,0.03,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.11,22.3,979.0,86.8,12151.0,94.0,87.3,10.0,72.0,16.0,7.0,94.0,25.0,1.58,4.0,0.25,38.0,29.0,25.0,12.0,22.0,9.0,13.0,17.0,1186.0,63.0,395.0,542.0,268.0,24.0,66.0,51.5,37.9,687.0,2244.0,52.0,39.0,7.0,24.0,24.0,755.0,67.0,18.0,23.0,2.0,22.0,84.0,17.0,58.6,72
Dominic Calvert-Lewin,eng ENG,Everton,FW,28-042,22.0,19.0,1574.0,3.0,1.0,2.0,0.0,6.1,0.6,22.0,19.0,105.0,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,278.0,62.6,2035.0,70.0,58.3,7.0,19.0,5.0,1.0,19.0,25.0,1.43,4.0,0.23,9.0,7.0,6.0,79.0,6.0,2.0,4.0,6.0,491.0,21.0,38.0,204.0,254.0,82.0,25.0,40.0,52.0,268.0,444.0,22.0,8.0,16.0,71.0,32.0,402.0,105.0,27.0,22.0,27.0,6.0,32.0,83.0,51.2,72
Dominic Solanke,eng ENG,Tottenham,FW,27-225,24.0,23.0,2052.0,7.0,3.0,0.0,0.0,9.9,2.9,29.0,45.0,87.0,0.31,0.13,0.43,0.13,N/a,N/a,N/a,N/a,39.3,0.96,0.13,12.2,345.0,71.9,3322.0,76.6,77.1,14.0,27.0,9.0,0.0,45.0,37.0,1.62,8.0,0.35,18.0,11.0,12.0,55.0,17.0,7.0,10.0,0.0,623.0,31.0,67.0,285.0,277.0,108.0,50.0,32.0,62.0,369.0,797.0,29.0,20.0,14.0,65.0,45.0,438.0,87.0,36.0,36.0,5.0,4.0,37.0,41.0,42.7,72
Dominik Szoboszlai,hu HUN,Liverpool,MF,24-184,31.0,25.0,2190.0,5.0,3.0,6.0,0.0,6.9,5.1,64.0,110.0,118.0,0.21,0.12,0.28,0.21,N/a,N/a,N/a,N/a,31.7,0.78,0.08,18.6,1178.0,84.6,15375.0,89.1,88.1,43.0,74.0,31.0,5.0,110.0,99.0,4.07,12.0,0.49,30.0,20.0,37.0,22.0,34.0,4.0,30.0,9.0,1408.0,23.0,180.0,684.0,562.0,92.0,35.0,54.3,37.1,721.0,2030.0,64.0,45.0,17.0,34.0,20.0,961.0,118.0,35.0,21.0,4.0,33.0,117.0,18.0,45.0,72
Donyell Malen,nl NED,Aston Villa,FW,26-108,11.0,2.0,273.0,3.0,0.0,0.0,0.0,1.7,0.1,9.0,5.0,23.0,0.99,0.0,0.55,0.02,N/a,N/a,N/a,N/a,66.7,2.64,0.25,16.3,64.0,70.3,580.0,82.9,75.0,2.0,2.0,1.0,0.0,5.0,4.0,1.31,0.0,0.0,7.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,110.0,2.0,7.0,29.0,80.0,18.0,10.0,30.0,50.0,63.0,251.0,9.0,5.0,5.0,8.0,6.0,71.0,23.0,1.0,4.0,2.0,7.0,8.0,3.0,42.9,72
Dwight McNeil,eng ENG,Everton,"MF,FW",25-156,17.0,13.0,1185.0,3.0,4.0,1.0,0.0,1.1,3.8,32.0,61.0,68.0,0.23,0.3,0.08,0.29,N/a,N/a,N/a,N/a,37.5,0.68,0.13,21.6,534.0,73.0,7325.0,86.2,81.1,33.0,35.0,33.0,10.0,61.0,62.0,4.71,7.0,0.53,11.0,6.0,19.0,14.0,7.0,0.0,7.0,5.0,645.0,3.0,65.0,280.0,315.0,22.0,38.0,55.3,42.1,374.0,970.0,32.0,29.0,4.0,22.0,28.0,435.0,68.0,6.0,14.0,1.0,92.0,65.0,3.0,17.6,72
Eberechi Eze,eng ENG,Crystal Palace,"MF,FW",26-302,30.0,28.0,2337.0,4.0,8.0,1.0,0.0,8.2,5.2,65.0,85.0,141.0,0.15,0.31,0.31,0.2,N/a,N/a,N/a,N/a,25.8,0.92,0.04,21.5,948.0,74.6,11848.0,85.3,83.4,53.0,46.0,32.0,3.0,85.0,119.0,4.58,9.0,0.35,37.0,22.0,35.0,36.0,26.0,0.0,26.0,11.0,1289.0,15.0,172.0,611.0,537.0,86.0,125.0,48.8,45.6,771.0,2178.0,65.0,43.0,21.0,52.0,44.0,840.0,141.0,11.0,46.0,9.0,100.0,128.0,6.0,14.3,72
Eddie Nketiah,eng ENG,Crystal Palace,"FW,MF",25-332,25.0,8.0,880.0,1.0,1.0,5.0,1.0,4.3,1.5,37.0,17.0,65.0,0.1,0.1,0.44,0.15,N/a,N/a,N/a,N/a,33.3,1.23,0.03,14.4,220.0,75.0,2479.0,79.5,83.3,11.0,11.0,4.0,0.0,17.0,26.0,2.66,2.0,0.2,12.0,5.0,11.0,31.0,10.0,1.0,9.0,2.0,360.0,10.0,39.0,150.0,178.0,59.0,19.0,52.6,31.6,211.0,807.0,37.0,22.0,13.0,30.0,15.0,256.0,65.0,25.0,23.0,3.0,5.0,21.0,18.0,36.7,72
Ederson,br BRA,Manchester City,GK,31-253,22.0,22.0,1960.0,0.0,4.0,3.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,N/a,0.0,N/a,N/a,787.0,88.1,17056.0,100.0,98.3,4.0,20.0,1.0,0.0,1.0,6.0,0.28,4.0,0.18,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,833.0,587.0,824.0,9.0,0.0,0.0,0.0,N/a,N/a,563.0,1671.0,0.0,0.0,0.0,1.0,0.0,529.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,80.0,71
Edmond-Paris Maghoma,eng ENG,Brentford,"MF,FW",23-354,8.0,0.0,119.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,13.0,4.0,0.0,0.0,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.8,84.0,90.5,1259.0,95.0,93.5,1.0,2.0,0.0,0.0,13.0,4.0,3.03,1.0,0.76,2.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,101.0,2.0,18.0,58.0,27.0,4.0,4.0,75.0,25.0,68.0,221.0,4.0,3.0,1.0,2.0,0.0,75.0,4.0,2.0,4.0,0.0,3.0,7.0,1.0,25.0,72
Edson Álvarez,mx MEX,West Ham,MF,27-185,25.0,19.0,1633.0,0.0,1.0,8.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.0,26.7,890.0,85.7,12894.0,88.8,89.7,11.0,80.0,11.0,3.0,75.0,25.0,1.38,2.0,0.11,44.0,23.0,33.0,20.0,21.0,8.0,13.0,16.0,1101.0,61.0,323.0,612.0,174.0,12.0,31.0,45.2,38.7,603.0,1528.0,21.0,20.0,2.0,25.0,13.0,734.0,18.0,37.0,18.0,4.0,6.0,78.0,28.0,58.3,72
Elliot Anderson,eng ENG,Nott'ham Forest,MF,22-172,32.0,28.0,2317.0,2.0,6.0,6.0,0.0,1.7,3.1,37.0,115.0,78.0,0.08,0.23,0.06,0.12,N/a,N/a,N/a,N/a,17.6,0.23,0.06,19.9,1109.0,77.8,13736.0,89.1,80.1,34.0,90.0,17.0,2.0,115.0,75.0,2.91,10.0,0.39,78.0,50.0,93.0,21.0,41.0,8.0,33.0,26.0,1480.0,88.0,354.0,694.0,460.0,55.0,68.0,50.0,38.2,740.0,1868.0,37.0,27.0,15.0,52.0,36.0,869.0,78.0,37.0,54.0,4.0,70.0,177.0,42.0,66.7,72
Emerson Palmieri,it ITA,West Ham,DF,30-267,29.0,25.0,2015.0,2.0,1.0,5.0,0.0,2.0,1.5,43.0,65.0,82.0,0.09,0.04,0.09,0.07,N/a,N/a,N/a,N/a,43.8,0.31,0.13,19.0,1034.0,79.9,12092.0,89.9,81.0,16.0,49.0,13.0,5.0,65.0,41.0,1.83,2.0,0.09,57.0,29.0,44.0,18.0,32.0,8.0,24.0,19.0,1275.0,82.0,410.0,534.0,346.0,28.0,30.0,33.3,56.7,526.0,1622.0,43.0,22.0,8.0,24.0,7.0,713.0,82.0,24.0,13.0,0.0,63.0,84.0,16.0,47.1,72
Emi Buendía,ar ARG,Aston Villa,"MF,FW",28-123,12.0,0.0,98.0,0.0,0.0,1.0,0.0,0.7,0.0,3.0,7.0,6.0,0.0,0.0,0.6,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,19.1,60.0,81.7,624.0,91.7,85.7,1.0,4.0,1.0,0.0,7.0,3.0,2.76,0.0,0.0,6.0,6.0,5.0,2.0,5.0,1.0,4.0,0.0,82.0,0.0,17.0,35.0,31.0,3.0,2.0,0.0,100.0,53.0,119.0,3.0,5.0,0.0,4.0,3.0,64.0,6.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,72
Emil Krafth,se SWE,Newcastle Utd,DF,30-268,9.0,2.0,288.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,7.0,1.0,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.6,130.0,80.0,1661.0,81.7,86.8,1.0,6.0,0.0,0.0,7.0,3.0,0.94,0.0,0.0,4.0,2.0,3.0,5.0,5.0,4.0,1.0,2.0,164.0,30.0,87.0,59.0,19.0,4.0,1.0,0.0,100.0,72.0,133.0,3.0,3.0,0.0,2.0,2.0,85.0,1.0,3.0,1.0,0.0,1.0,17.0,5.0,50.0,72
Emile Smith Rowe,eng ENG,Fulham,MF,24-273,30.0,23.0,1852.0,6.0,2.0,2.0,0.0,4.3,1.1,50.0,120.0,113.0,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,29.4,0.49,0.18,15.4,927.0,90.0,11939.0,92.0,95.4,18.0,74.0,15.0,1.0,120.0,65.0,3.16,11.0,0.53,30.0,17.0,24.0,17.0,20.0,2.0,18.0,11.0,1110.0,20.0,153.0,523.0,444.0,55.0,33.0,48.5,45.5,720.0,1832.0,50.0,38.0,11.0,32.0,13.0,853.0,113.0,17.0,12.0,4.0,13.0,68.0,6.0,26.1,72
Emiliano Martínez,ar ARG,Aston Villa,GK,32-237,33.0,33.0,2880.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.02,1.41,65.9,15.2,50.0,N/a,0.0,N/a,N/a,1248.0,79.0,25707.0,97.8,98.1,2.0,21.0,0.0,0.0,3.0,6.0,0.19,1.0,0.03,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1307.0,990.0,1292.0,15.0,0.0,0.0,1.0,100.0,0.0,794.0,2586.0,0.0,0.0,0.0,1.0,0.0,718.0,0.0,1.0,5.0,0.0,0.0,28.0,8.0,88.9,73
Emmanuel Agbadou,ci CIV,Wolves,DF,27-314,12.0,12.0,1050.0,0.0,0.0,2.0,0.0,0.3,0.2,3.0,21.0,1.0,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.09,0.0,32.6,701.0,84.3,12101.0,91.6,92.2,4.0,22.0,1.0,0.0,21.0,15.0,1.29,2.0,0.17,25.0,17.0,17.0,15.0,15.0,11.0,4.0,9.0,837.0,138.0,470.0,352.0,21.0,4.0,10.0,70.0,20.0,499.0,1057.0,3.0,3.0,0.0,3.0,3.0,543.0,1.0,5.0,4.0,1.0,1.0,62.0,21.0,58.3,72
Enes Ünal,tr TUR,Bournemouth,"FW,MF",27-352,17.0,2.0,345.0,2.0,1.0,2.0,0.0,2.7,0.4,4.0,12.0,22.0,0.52,0.26,0.72,0.1,N/a,N/a,N/a,N/a,35.0,1.83,0.1,14.6,99.0,63.6,685.0,76.9,60.7,4.0,4.0,4.0,0.0,12.0,9.0,2.35,3.0,0.78,1.0,0.0,3.0,22.0,1.0,0.0,1.0,0.0,172.0,6.0,14.0,63.0,95.0,26.0,12.0,8.3,83.3,91.0,95.0,4.0,3.0,1.0,17.0,13.0,133.0,22.0,6.0,9.0,1.0,4.0,16.0,24.0,52.2,72
Enzo Fernández,ar ARG,Chelsea,MF,24-100,32.0,28.0,2590.0,5.0,7.0,7.0,0.0,5.4,6.3,57.0,196.0,115.0,0.17,0.24,0.19,0.22,N/a,N/a,N/a,N/a,36.7,0.63,0.1,18.6,1746.0,80.0,24772.0,88.8,84.9,71.0,155.0,39.0,7.0,196.0,137.0,4.76,16.0,0.56,61.0,30.0,78.0,27.0,32.0,5.0,27.0,11.0,2021.0,32.0,309.0,1027.0,698.0,73.0,46.0,45.7,39.1,1115.0,2529.0,57.0,53.0,8.0,27.0,27.0,1487.0,115.0,45.0,47.0,1.0,103.0,141.0,13.0,32.5,72
Erling Haaland,no NOR,Manchester City,FW,24-280,28.0,28.0,2480.0,21.0,3.0,2.0,0.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,341.0,66.0,2706.0,70.6,66.7,26.0,9.0,7.0,1.0,18.0,62.0,2.25,9.0,0.33,9.0,5.0,6.0,45.0,11.0,1.0,10.0,5.0,578.0,22.0,39.0,200.0,344.0,170.0,32.0,34.4,59.4,272.0,478.0,19.0,14.0,19.0,39.0,25.0,427.0,103.0,22.0,12.0,4.0,3.0,29.0,49.0,52.1,72
Ethan Nwaneri,eng ENG,Arsenal,"FW,MF",18-037,24.0,10.0,816.0,4.0,2.0,1.0,0.0,1.1,1.0,44.0,30.0,101.0,0.44,0.22,0.12,0.11,N/a,N/a,N/a,N/a,36.4,0.88,0.18,18.2,379.0,80.2,4385.0,92.3,76.6,12.0,16.0,13.0,6.0,30.0,22.0,2.42,3.0,0.33,11.0,7.0,18.0,7.0,8.0,2.0,6.0,2.0,491.0,3.0,43.0,159.0,294.0,39.0,55.0,58.2,30.9,330.0,1233.0,44.0,21.0,16.0,20.0,17.0,358.0,101.0,7.0,5.0,6.0,51.0,33.0,3.0,30.0,72
Ethan Pinnock,jm JAM,Brentford,DF,31-333,22.0,21.0,1913.0,2.0,0.0,2.0,0.0,1.1,1.2,3.0,41.0,9.0,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.2,11.1,1080.0,85.6,17045.0,94.2,89.4,8.0,48.0,4.0,1.0,41.0,21.0,0.99,0.0,0.0,35.0,19.0,24.0,43.0,29.0,18.0,11.0,24.0,1348.0,294.0,783.0,457.0,109.0,24.0,9.0,33.3,66.7,633.0,1633.0,3.0,4.0,0.0,2.0,4.0,760.0,9.0,8.0,4.0,0.0,9.0,50.0,63.0,59.4,72
Evan Ferguson,ie IRL,Brighton,FW,20-190,13.0,2.0,246.0,1.0,0.0,0.0,0.0,0.5,0.4,2.0,1.0,9.0,0.37,0.0,0.2,0.15,N/a,N/a,N/a,N/a,28.6,0.73,0.14,19.2,58.0,74.1,484.0,86.1,72.7,3.0,1.0,0.0,0.0,1.0,4.0,1.47,0.0,0.0,4.0,3.0,5.0,9.0,3.0,1.0,2.0,0.0,88.0,7.0,13.0,50.0,26.0,9.0,2.0,50.0,50.0,42.0,56.0,2.0,1.0,2.0,5.0,6.0,52.0,9.0,3.0,1.0,0.0,0.0,10.0,4.0,30.8,72
Evanilson,br BRA,Bournemouth,FW,25-203,26.0,23.0,1903.0,9.0,0.0,0.0,0.0,11.0,1.5,25.0,19.0,86.0,0.43,0.0,0.52,0.07,N/a,N/a,N/a,N/a,45.2,1.32,0.15,12.9,276.0,68.8,2309.0,73.5,71.4,22.0,14.0,2.0,0.0,19.0,55.0,2.6,7.0,0.33,14.0,9.0,10.0,55.0,10.0,2.0,8.0,0.0,462.0,22.0,47.0,172.0,246.0,112.0,19.0,31.6,36.8,267.0,695.0,25.0,14.0,14.0,30.0,21.0,322.0,86.0,28.0,40.0,16.0,0.0,55.0,38.0,40.9,72
Ezri Konsa,eng ENG,Aston Villa,DF,27-186,30.0,29.0,2576.0,1.0,0.0,0.0,0.0,0.9,0.4,16.0,73.0,11.0,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1480.0,92.7,22993.0,96.3,95.7,5.0,93.0,1.0,0.0,73.0,23.0,0.8,3.0,0.1,32.0,17.0,22.0,21.0,17.0,9.0,8.0,21.0,1693.0,213.0,795.0,807.0,99.0,20.0,17.0,41.2,41.2,986.0,2465.0,16.0,11.0,2.0,16.0,9.0,1177.0,11.0,6.0,42.0,0.0,5.0,86.0,27.0,56.3,72
Fabian Schär,ch SUI,Newcastle Utd,DF,33-128,30.0,29.0,2575.0,4.0,0.0,7.0,1.0,2.1,0.4,14.0,95.0,17.0,0.14,0.0,0.07,0.01,N/a,N/a,N/a,N/a,34.5,0.35,0.14,21.9,1743.0,83.6,29153.0,92.5,92.7,5.0,139.0,10.0,0.0,95.0,27.0,0.94,3.0,0.1,32.0,19.0,33.0,61.0,36.0,24.0,12.0,40.0,2033.0,235.0,1059.0,858.0,127.0,31.0,12.0,66.7,16.7,1281.0,3303.0,14.0,23.0,2.0,11.0,6.0,1416.0,17.0,31.0,12.0,4.0,9.0,123.0,40.0,39.6,72
Fabio Carvalho,pt POR,Brentford,"FW,MF",22-240,19.0,3.0,455.0,2.0,1.0,1.0,0.0,2.5,0.7,9.0,17.0,23.0,0.4,0.2,0.49,0.13,N/a,N/a,N/a,N/a,41.7,0.99,0.17,14.7,178.0,70.8,1755.0,83.0,71.1,4.0,11.0,5.0,1.0,17.0,10.0,1.97,1.0,0.2,13.0,9.0,13.0,6.0,6.0,1.0,5.0,3.0,247.0,4.0,44.0,91.0,113.0,22.0,14.0,14.3,71.4,137.0,356.0,9.0,3.0,0.0,13.0,8.0,145.0,23.0,5.0,10.0,1.0,10.0,30.0,2.0,25.0,72
Facundo Buonanotte,ar ARG,Leicester City,"FW,MF",20-125,29.0,14.0,1474.0,4.0,2.0,7.0,0.0,3.8,3.1,39.0,52.0,69.0,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.9,561.0,76.6,6794.0,85.7,81.9,24.0,40.0,13.0,2.0,52.0,50.0,3.05,4.0,0.24,53.0,32.0,68.0,35.0,32.0,6.0,26.0,11.0,850.0,26.0,127.0,437.0,299.0,36.0,79.0,32.9,62.0,465.0,1320.0,39.0,26.0,8.0,53.0,39.0,516.0,69.0,35.0,33.0,3.0,41.0,77.0,17.0,32.7,72
Ferdi Kadioglu,tr TUR,Brighton,"DF,MF",25-202,6.0,5.0,385.0,1.0,0.0,1.0,0.0,0.4,0.2,1.0,15.0,27.0,0.23,0.0,0.1,0.04,N/a,N/a,N/a,N/a,25.0,0.23,0.25,15.1,175.0,82.3,2372.0,89.0,82.4,5.0,10.0,9.0,4.0,15.0,13.0,3.03,2.0,0.47,10.0,6.0,15.0,1.0,2.0,2.0,0.0,8.0,231.0,13.0,71.0,91.0,72.0,9.0,7.0,42.9,42.9,124.0,183.0,1.0,0.0,0.0,6.0,2.0,144.0,27.0,5.0,3.0,1.0,9.0,14.0,3.0,75.0,72
Filip Jørgensen,dk DEN,Chelsea,GK,23-011,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,71.4,16.7,0.0,N/a,0.0,N/a,N/a,189.0,83.6,2843.0,100.0,97.5,0.0,1.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,174.0,201.0,1.0,0.0,0.0,0.0,N/a,N/a,145.0,423.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,N/a,70
Flynn Downes,eng ENG,Southampton,MF,26-097,23.0,21.0,1791.0,1.0,0.0,10.0,0.0,0.6,1.0,24.0,59.0,28.0,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.15,0.1,18.7,948.0,89.8,12498.0,92.6,91.8,15.0,52.0,11.0,0.0,59.0,30.0,1.51,2.0,0.1,43.0,23.0,31.0,13.0,22.0,6.0,16.0,30.0,1136.0,76.0,343.0,605.0,197.0,20.0,14.0,35.7,50.0,540.0,1551.0,24.0,21.0,4.0,12.0,17.0,805.0,28.0,45.0,33.0,0.0,3.0,73.0,13.0,50.0,72
Fraser Forster,eng ENG,Tottenham,GK,37-041,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,69.0,14.3,0.0,N/a,0.0,N/a,N/a,198.0,84.8,3349.0,98.2,95.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,1.0,100.0,0.0,113.0,264.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,73
Gabriel Jesus,br BRA,Arsenal,FW,28-024,17.0,6.0,608.0,3.0,0.0,4.0,0.0,3.0,0.7,15.0,19.0,57.0,0.44,0.0,0.44,0.1,N/a,N/a,N/a,N/a,35.0,1.04,0.15,11.1,203.0,76.8,2030.0,80.5,87.2,8.0,10.0,9.0,1.0,19.0,18.0,2.66,4.0,0.59,10.0,6.0,9.0,18.0,10.0,1.0,9.0,4.0,299.0,9.0,28.0,108.0,165.0,48.0,22.0,40.9,45.5,179.0,432.0,15.0,6.0,11.0,13.0,13.0,217.0,57.0,14.0,10.0,9.0,7.0,28.0,9.0,33.3,72
Gabriel Magalhães,br BRA,Arsenal,DF,27-129,28.0,28.0,2363.0,3.0,1.0,4.0,0.0,2.6,0.9,10.0,126.0,11.0,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1641.0,90.2,25788.0,96.9,94.2,13.0,145.0,8.0,0.0,126.0,35.0,1.33,6.0,0.23,25.0,15.0,16.0,37.0,42.0,29.0,13.0,16.0,1873.0,189.0,672.0,985.0,225.0,40.0,5.0,80.0,20.0,1116.0,2669.0,10.0,22.0,0.0,9.0,2.0,1366.0,11.0,19.0,19.0,0.0,9.0,63.0,53.0,58.9,72
Gabriel Martinelli,br BRA,Arsenal,"FW,MF",23-313,29.0,21.0,1956.0,7.0,4.0,1.0,0.0,5.9,4.5,106.0,44.0,259.0,0.32,0.18,0.27,0.21,N/a,N/a,N/a,N/a,42.2,0.87,0.16,13.0,604.0,71.0,6240.0,83.1,69.2,34.0,10.0,30.0,13.0,44.0,61.0,2.81,6.0,0.28,19.0,14.0,22.0,29.0,10.0,0.0,10.0,4.0,860.0,15.0,83.0,218.0,571.0,162.0,103.0,29.1,55.3,576.0,2268.0,106.0,29.0,55.0,48.0,33.0,655.0,259.0,14.0,19.0,8.0,80.0,70.0,14.0,32.6,72
George Hirst,sct SCO,Ipswich Town,FW,26-071,22.0,3.0,470.0,2.0,1.0,1.0,0.0,1.3,0.3,9.0,12.0,27.0,0.38,0.19,0.25,0.05,N/a,N/a,N/a,N/a,44.4,0.77,0.22,12.0,99.0,53.5,632.0,64.9,47.8,3.0,1.0,4.0,0.0,12.0,7.0,1.33,3.0,0.57,3.0,3.0,3.0,19.0,1.0,1.0,0.0,2.0,156.0,10.0,22.0,54.0,82.0,21.0,5.0,40.0,40.0,88.0,198.0,9.0,2.0,6.0,21.0,13.0,134.0,27.0,11.0,9.0,2.0,3.0,8.0,30.0,61.2,72
Georginio Rutter,fr FRA,Brighton,"MF,FW",23-007,28.0,19.0,1656.0,5.0,3.0,2.0,0.0,4.6,2.5,42.0,67.0,79.0,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.1,15.5,355.0,66.8,3344.0,77.0,66.7,19.0,30.0,16.0,1.0,67.0,64.0,3.47,8.0,0.43,39.0,15.0,36.0,46.0,20.0,3.0,17.0,10.0,641.0,20.0,83.0,246.0,326.0,79.0,71.0,38.0,47.9,361.0,1405.0,42.0,36.0,16.0,45.0,37.0,411.0,79.0,34.0,45.0,7.0,9.0,66.0,25.0,35.2,72
Gonçalo Guedes,pt POR,Wolves,"MF,FW",28-149,25.0,7.0,772.0,2.0,4.0,1.0,0.0,2.2,1.1,32.0,30.0,58.0,0.23,0.47,0.26,0.13,N/a,N/a,N/a,N/a,36.8,0.82,0.11,20.0,256.0,72.7,3117.0,84.1,76.0,11.0,13.0,16.0,5.0,30.0,23.0,2.68,8.0,0.93,14.0,4.0,15.0,11.0,9.0,0.0,9.0,5.0,367.0,4.0,42.0,161.0,177.0,28.0,20.0,25.0,55.0,224.0,896.0,32.0,20.0,5.0,33.0,14.0,248.0,58.0,14.0,15.0,3.0,16.0,34.0,3.0,21.4,72
Guglielmo Vicario,it ITA,Tottenham,GK,28-202,21.0,21.0,1890.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.29,68.6,19.0,N/a,N/a,0.0,N/a,N/a,757.0,90.0,13042.0,99.1,97.5,0.0,1.0,0.0,0.0,1.0,3.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,805.0,535.0,787.0,18.0,0.0,0.0,1.0,100.0,0.0,577.0,1533.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,0.0,30.0,9.0,100.0,72
