Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count
Adam Wharton,eng ENG,Crystal Palace,MF,20-329,19.0,15.0,1258.0,0.0,2.0,2.0,0.0,0.3,3.0,14.0,105.0,10.0,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.0,25.8,689.0,75.6,9826.0,82.1,80.6,25.0,73.0,18.0,5.0,105.0,56.0,4.01,6.0,0.43,34.0,14.0,43.0,16.0,10.0,2.0,8.0,18.0,827.0,27.0,196.0,439.0,198.0,10.0,10.0,20.0,80.0,413.0,1021.0,14.0,22.0,2.0,14.0,13.0,509.0,10.0,12.0,21.0,0.0,35.0,96.0,7.0,30.4,72
Adama Traoré,es ESP,Fulham,"FW,MF",29-092,32.0,16.0,1568.0,2.0,6.0,2.0,0.0,3.8,4.6,85.0,61.0,143.0,0.11,0.34,0.22,0.26,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,533.0,71.9,5972.0,80.9,73.4,37.0,32.0,32.0,17.0,61.0,73.0,4.19,9.0,0.52,17.0,12.0,13.0,25.0,6.0,0.0,6.0,1.0,725.0,4.0,74.0,257.0,414.0,86.0,87.0,50.6,36.8,482.0,2196.0,85.0,41.0,33.0,31.0,20.0,549.0,143.0,20.0,29.0,1.0,90.0,77.0,24.0,49.0,72
Albert Grønbaek,dk DEN,Southampton,"FW,MF",23-339,4.0,2.0,143.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,3.0,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.0,22.4,18.0,72.2,135.0,81.8,50.0,1.0,2.0,0.0,0.0,1.0,2.0,1.26,0.0,0.0,4.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,38.0,2.0,9.0,14.0,15.0,2.0,4.0,0.0,100.0,18.0,15.0,1.0,0.0,1.0,5.0,4.0,21.0,3.0,0.0,1.0,0.0,1.0,6.0,2.0,100.0,72
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-300,32.0,21.0,1966.0,5.0,1.0,2.0,0.0,6.2,3.5,130.0,50.0,260.0,0.23,0.05,0.28,0.16,N/a,N/a,N/a,N/a,37.0,1.24,0.07,16.9,730.0,79.3,8106.0,89.5,82.9,29.0,19.0,21.0,3.0,50.0,69.0,3.16,4.0,0.18,28.0,18.0,33.0,23.0,17.0,0.0,17.0,11.0,1033.0,13.0,118.0,329.0,603.0,152.0,82.0,29.3,62.2,748.0,2922.0,130.0,66.0,63.0,57.0,46.0,793.0,260.0,10.0,38.0,9.0,47.0,102.0,3.0,11.5,72
Alex Iwobi,ng NGA,Fulham,"FW,MF",28-359,34.0,32.0,2721.0,9.0,6.0,1.0,0.0,4.4,6.5,133.0,196.0,221.0,0.3,0.2,0.15,0.21,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1393.0,74.4,17738.0,85.8,77.3,53.0,106.0,77.0,16.0,196.0,112.0,3.7,16.0,0.53,37.0,21.0,28.0,31.0,25.0,1.0,24.0,11.0,1692.0,31.0,225.0,677.0,815.0,107.0,84.0,50.0,45.2,1201.0,4048.0,133.0,100.0,37.0,54.0,39.0,1321.0,221.0,17.0,16.0,4.0,118.0,124.0,5.0,13.9,72
Alex McCarthy,eng ENG,Southampton,GK,35-145,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,0.0,N/a,0.0,N/a,N/a,156.0,75.0,2823.0,95.3,91.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,0.0,N/a,N/a,100.0,276.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,100.0,71
Alex Palmer,eng ENG,Ipswich Town,GK,28-260,10.0,10.0,900.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,60.0,0.0,0.0,N/a,0.0,N/a,N/a,316.0,65.5,6498.0,95.3,100.0,1.0,6.0,0.0,0.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,300.0,353.0,7.0,0.0,0.0,0.0,N/a,N/a,158.0,558.0,0.0,0.0,0.0,1.0,0.0,113.0,0.0,1.0,2.0,0.0,0.0,14.0,3.0,100.0,71
Alex Scott,eng ENG,Bournemouth,MF,21-249,16.0,6.0,612.0,0.0,0.0,2.0,0.0,0.7,0.8,12.0,48.0,31.0,0.0,0.0,0.1,0.12,N/a,N/a,N/a,N/a,38.5,0.74,0.0,20.0,277.0,84.1,3775.0,89.3,91.3,9.0,35.0,4.0,0.0,48.0,25.0,3.67,2.0,0.29,25.0,12.0,32.0,6.0,14.0,3.0,11.0,9.0,402.0,18.0,71.0,219.0,117.0,16.0,24.0,20.8,50.0,219.0,530.0,12.0,6.0,1.0,20.0,8.0,247.0,31.0,9.0,24.0,0.0,3.0,45.0,5.0,45.5,72
Alexander Isak,se SWE,Newcastle Utd,FW,25-218,31.0,31.0,2487.0,22.0,6.0,1.0,0.0,19.0,4.0,77.0,77.0,196.0,0.8,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,620.0,74.0,6537.0,83.2,77.5,38.0,32.0,26.0,1.0,77.0,85.0,3.08,14.0,0.51,12.0,5.0,12.0,48.0,18.0,2.0,16.0,3.0,932.0,20.0,54.0,348.0,544.0,174.0,87.0,48.3,50.6,556.0,1721.0,77.0,40.0,43.0,62.0,50.0,659.0,196.0,25.0,13.0,20.0,15.0,54.0,25.0,34.2,72
Alexis Mac Allister,ar ARG,Liverpool,MF,26-124,32.0,29.0,2471.0,4.0,4.0,6.0,0.0,2.7,4.4,32.0,169.0,75.0,0.15,0.15,0.1,0.16,N/a,N/a,N/a,N/a,34.3,0.44,0.11,18.2,1451.0,83.4,19378.0,89.9,88.4,41.0,116.0,34.0,2.0,169.0,115.0,4.19,14.0,0.51,88.0,54.0,92.0,33.0,58.0,5.0,53.0,21.0,1770.0,52.0,265.0,921.0,603.0,56.0,42.0,38.1,50.0,869.0,1887.0,32.0,39.0,3.0,29.0,22.0,1175.0,75.0,59.0,39.0,2.0,80.0,138.0,18.0,35.3,72
