Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Bernardo Silva,pt POR,Manchester City,"MF,FW",30-262,29.0,25.0,2311.0,3.0,4.0,7.0,0.0,3.2,4.2,92.0,109.0,180.0,0.12,0.16,0.13,0.17,N/a,N/a,N/a,N/a,35.7,0.39,0.11,12.9,1477.0,86.9,19677.0,91.9,88.7,44.0,70.0,30.0,7.0,109.0,79.0,3.08,8.0,0.31,49.0,32.0,49.0,10.0,30.0,7.0,23.0,19.0,1705.0,42.0,298.0,675.0,749.0,127.0,55.0,45.5,41.8,1068.0,3501.0,92.0,59.0,30.0,21.0,31.0,1261.0,180.0,25.0,27.0,3.0,50.0,90.0,5.0,33.3,72,€50M
Bernd Leno,de GER,Fulham,GK,33-056,34.0,34.0,3060.0,0.0,1.0,4.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.35,68.3,14.7,0.0,N/a,0.0,N/a,N/a,1269.0,81.2,25014.0,99.5,98.9,2.0,14.0,2.0,0.0,0.0,5.0,0.15,2.0,0.06,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1328.0,1066.0,1318.0,10.0,0.0,0.0,0.0,N/a,N/a,879.0,1981.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,3.0,0.0,0.0,47.0,9.0,100.0,71,€13.7M
Beto,gw GNB,Everton,FW,27-088,26.0,11.0,1192.0,6.0,0.0,2.0,0.0,6.1,0.8,12.0,9.0,62.0,0.45,0.0,0.46,0.06,N/a,N/a,N/a,N/a,51.4,1.36,0.17,13.6,205.0,56.6,1593.0,68.0,48.5,8.0,5.0,3.0,1.0,9.0,17.0,1.28,0.0,0.0,13.0,6.0,8.0,86.0,7.0,1.0,6.0,3.0,403.0,21.0,41.0,182.0,185.0,65.0,32.0,53.1,43.8,210.0,387.0,12.0,9.0,9.0,53.0,32.0,291.0,62.0,29.0,18.0,14.0,3.0,29.0,74.0,46.3,72,€24.4M
Bilal El Khannouss,ma MAR,Leicester City,MF,20-354,29.0,24.0,1920.0,2.0,2.0,4.0,0.0,0.9,3.2,61.0,118.0,77.0,0.09,0.09,0.04,0.15,N/a,N/a,N/a,N/a,26.1,0.28,0.09,22.8,949.0,75.2,12717.0,85.8,81.0,31.0,81.0,27.0,5.0,118.0,59.0,2.77,4.0,0.19,46.0,26.0,28.0,19.0,19.0,4.0,15.0,6.0,1126.0,16.0,163.0,584.0,391.0,27.0,46.0,58.7,37.0,649.0,1788.0,61.0,38.0,9.0,35.0,34.0,753.0,77.0,27.0,9.0,1.0,78.0,83.0,19.0,50.0,72,€40.6M
Boubacar Kamara,fr FRA,Aston Villa,MF,25-157,22.0,16.0,1373.0,0.0,0.0,2.0,0.0,0.4,0.9,16.0,72.0,5.0,0.0,0.0,0.02,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.0,21.1,756.0,89.2,10544.0,93.5,91.4,10.0,77.0,8.0,0.0,72.0,24.0,1.57,2.0,0.13,46.0,19.0,51.0,21.0,17.0,7.0,10.0,16.0,911.0,88.0,288.0,520.0,109.0,8.0,22.0,36.4,31.8,467.0,1082.0,16.0,11.0,1.0,9.0,11.0,610.0,5.0,23.0,26.0,0.0,1.0,67.0,16.0,43.2,72,€46.3M
Boubakary Soumaré,fr FRA,Leicester City,MF,26-061,27.0,23.0,1953.0,0.0,0.0,8.0,0.0,0.3,0.4,31.0,94.0,21.0,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.4,1132.0,86.7,14896.0,91.9,87.6,11.0,90.0,13.0,2.0,94.0,34.0,1.57,3.0,0.14,33.0,18.0,30.0,9.0,19.0,7.0,12.0,24.0,1318.0,62.0,348.0,833.0,150.0,17.0,44.0,61.4,29.5,787.0,1881.0,31.0,16.0,3.0,20.0,21.0,925.0,21.0,21.0,21.0,0.0,8.0,130.0,19.0,67.9,72,€15.4M
Brennan Johnson,wls WAL,Tottenham,FW,23-341,31.0,23.0,2083.0,11.0,3.0,5.0,0.0,9.8,2.3,57.0,70.0,194.0,0.48,0.13,0.43,0.1,N/a,N/a,N/a,N/a,37.7,0.86,0.21,11.4,617.0,71.0,5790.0,80.5,75.7,19.0,25.0,35.0,6.0,70.0,46.0,1.99,7.0,0.3,39.0,26.0,31.0,20.0,25.0,3.0,22.0,4.0,825.0,16.0,89.0,282.0,466.0,120.0,44.0,43.2,50.0,527.0,1410.0,57.0,21.0,32.0,25.0,16.0,609.0,194.0,26.0,25.0,12.0,52.0,60.0,7.0,25.9,72,€71.3M
Bruno Fernandes,pt POR,Manchester Utd,MF,30-233,33.0,32.0,2758.0,8.0,9.0,4.0,2.0,9.5,7.6,65.0,281.0,118.0,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,2024.0,75.2,26743.0,86.7,80.4,84.0,176.0,73.0,11.0,281.0,169.0,5.51,12.0,0.39,76.0,47.0,75.0,28.0,32.0,4.0,28.0,25.0,2394.0,59.0,398.0,1130.0,888.0,71.0,65.0,41.5,49.2,1379.0,3436.0,65.0,60.0,11.0,38.0,37.0,1665.0,118.0,26.0,37.0,2.0,172.0,192.0,21.0,42.9,72,€54.8M
Bruno Guimarães,br BRA,Newcastle Utd,MF,27-164,34.0,34.0,2912.0,4.0,6.0,6.0,0.0,3.8,5.6,53.0,241.0,79.0,0.12,0.19,0.12,0.17,N/a,N/a,N/a,N/a,23.7,0.28,0.11,16.2,1589.0,82.1,21511.0,90.7,87.5,45.0,158.0,67.0,6.0,241.0,119.0,3.68,17.0,0.53,71.0,41.0,61.0,16.0,33.0,9.0,24.0,27.0,1965.0,74.0,397.0,1011.0,578.0,71.0,71.0,47.9,29.6,1275.0,3063.0,53.0,39.0,11.0,51.0,73.0,1475.0,79.0,54.0,99.0,2.0,24.0,161.0,17.0,51.5,72,€83.2M
Bryan Mbeumo,cm CMR,Brentford,FW,25-265,33.0,33.0,2964.0,18.0,6.0,2.0,0.0,10.6,7.8,110.0,125.0,300.0,0.55,0.18,0.32,0.24,N/a,N/a,N/a,N/a,45.5,0.91,0.2,17.7,1134.0,67.3,12187.0,79.7,72.8,63.0,52.0,55.0,16.0,125.0,129.0,3.92,17.0,0.52,41.0,26.0,29.0,68.0,21.0,3.0,18.0,14.0,1523.0,47.0,216.0,483.0,851.0,137.0,93.0,45.2,41.9,924.0,3035.0,110.0,61.0,64.0,87.0,38.0,1034.0,300.0,22.0,40.0,11.0,171.0,137.0,31.0,31.3,72,€57.2M
Bukayo Saka,eng ENG,Arsenal,"FW,MF",23-236,21.0,17.0,1454.0,6.0,10.0,3.0,0.0,5.9,6.7,79.0,61.0,222.0,0.37,0.62,0.36,0.42,N/a,N/a,N/a,N/a,35.2,1.18,0.09,15.9,626.0,75.1,7266.0,90.0,72.4,49.0,13.0,32.0,10.0,61.0,100.0,6.19,22.0,1.36,23.0,13.0,20.0,19.0,19.0,0.0,19.0,2.0,840.0,6.0,46.0,180.0,621.0,139.0,83.0,44.6,41.0,535.0,2065.0,79.0,27.0,43.0,28.0,37.0,610.0,222.0,13.0,35.0,5.0,109.0,61.0,8.0,29.6,72,€101.3M
Caleb Okoli,it ITA,Leicester City,DF,23-290,18.0,12.0,1124.0,1.0,0.0,4.0,0.0,0.6,0.0,3.0,32.0,2.0,0.08,0.0,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,646.0,86.4,9738.0,91.3,91.0,0.0,21.0,1.0,0.0,32.0,4.0,0.32,0.0,0.0,25.0,14.0,18.0,21.0,24.0,14.0,10.0,15.0,804.0,152.0,450.0,324.0,35.0,10.0,0.0,N/a,N/a,467.0,1106.0,3.0,6.0,0.0,10.0,2.0,483.0,2.0,16.0,9.0,0.0,1.0,44.0,23.0,52.3,70,€16.7M
Callum Hudson-Odoi,eng ENG,Nott'ham Forest,"FW,MF",24-173,28.0,24.0,2107.0,5.0,2.0,2.0,0.0,2.5,2.7,126.0,66.0,186.0,0.21,0.09,0.11,0.11,N/a,N/a,N/a,N/a,45.9,0.73,0.14,18.3,804.0,82.1,9651.0,92.0,81.9,44.0,35.0,30.0,10.0,66.0,94.0,4.02,11.0,0.47,20.0,14.0,16.0,10.0,11.0,0.0,11.0,13.0,988.0,14.0,107.0,316.0,590.0,72.0,62.0,58.1,29.0,617.0,3301.0,126.0,61.0,45.0,44.0,23.0,751.0,186.0,12.0,21.0,8.0,74.0,90.0,3.0,23.1,72,€30.2M
Calvin Bassey,ng NGA,Fulham,DF,25-119,32.0,31.0,2804.0,1.0,0.0,6.0,0.0,1.0,0.1,35.0,104.0,13.0,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.13,0.07,15.3,1964.0,89.6,30963.0,94.9,94.0,2.0,135.0,2.0,0.0,104.0,22.0,0.71,3.0,0.1,51.0,32.0,28.0,31.0,37.0,17.0,20.0,18.0,2245.0,294.0,1099.0,1050.0,120.0,18.0,29.0,44.8,34.5,1443.0,4343.0,35.0,17.0,5.0,32.0,8.0,1559.0,13.0,24.0,30.0,2.0,6.0,155.0,40.0,56.3,72,€29.9M
Cameron Archer,eng ENG,Southampton,FW,23-282,31.0,13.0,1361.0,2.0,0.0,0.0,0.0,5.1,0.4,19.0,14.0,62.0,0.13,0.0,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.6,0.07,13.1,233.0,81.1,2474.0,85.6,91.4,3.0,6.0,7.0,0.0,14.0,17.0,1.13,0.0,0.0,11.0,7.0,9.0,27.0,5.0,1.0,4.0,2.0,360.0,16.0,59.0,161.0,143.0,49.0,31.0,45.2,51.6,207.0,499.0,19.0,9.0,14.0,33.0,24.0,253.0,62.0,16.0,12.0,7.0,3.0,34.0,8.0,22.9,72,€18.6M
Cameron Burgess,au AUS,Ipswich Town,DF,29-190,16.0,14.0,1361.0,0.0,1.0,0.0,0.0,0.7,0.5,2.0,40.0,4.0,0.0,0.07,0.05,0.03,N/a,N/a,N/a,N/a,11.1,0.07,0.0,9.7,671.0,80.8,9841.0,90.8,86.5,6.0,42.0,4.0,0.0,40.0,12.0,0.79,2.0,0.13,14.0,9.0,9.0,19.0,18.0,13.0,5.0,13.0,849.0,204.0,510.0,296.0,44.0,21.0,0.0,N/a,N/a,391.0,935.0,2.0,4.0,0.0,2.0,0.0,492.0,4.0,4.0,4.0,1.0,0.0,37.0,38.0,66.7,70,€1.7M
Carlos Baleba,cm CMR,Brighton,MF,21-116,30.0,27.0,2313.0,3.0,1.0,8.0,1.0,3.0,1.3,40.0,111.0,26.0,0.12,0.04,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1161.0,87.7,17164.0,92.7,91.7,20.0,103.0,22.0,2.0,111.0,60.0,2.34,4.0,0.16,71.0,41.0,72.0,23.0,43.0,10.0,33.0,40.0,1506.0,84.0,361.0,891.0,293.0,11.0,51.0,58.8,35.3,857.0,2564.0,40.0,40.0,3.0,36.0,35.0,913.0,26.0,38.0,43.0,0.0,8.0,172.0,38.0,62.3,72,€52.4M
Carlos Soler,es ESP,West Ham,"MF,FW",28-117,28.0,14.0,1347.0,1.0,1.0,5.0,0.0,1.7,1.2,16.0,52.0,33.0,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,623.0,85.1,8264.0,94.4,85.7,14.0,41.0,11.0,0.0,52.0,46.0,3.08,2.0,0.13,13.0,10.0,22.0,11.0,19.0,6.0,13.0,8.0,738.0,26.0,172.0,384.0,187.0,22.0,18.0,44.4,50.0,338.0,714.0,16.0,16.0,4.0,11.0,14.0,502.0,33.0,24.0,17.0,0.0,31.0,63.0,9.0,45.0,72,€23.4M
Casemiro,br BRA,Manchester Utd,MF,33-065,22.0,16.0,1335.0,1.0,0.0,3.0,0.0,1.7,2.3,4.0,70.0,26.0,0.07,0.0,0.11,0.15,N/a,N/a,N/a,N/a,28.6,0.54,0.04,18.8,854.0,78.5,11089.0,86.4,83.7,20.0,68.0,20.0,6.0,70.0,49.0,3.31,3.0,0.2,77.0,46.0,66.0,17.0,33.0,10.0,23.0,12.0,1091.0,69.0,327.0,555.0,217.0,38.0,6.0,50.0,50.0,575.0,823.0,4.0,10.0,0.0,10.0,10.0,697.0,26.0,17.0,18.0,3.0,19.0,89.0,31.0,64.6,72,€11.6M
Chris Richards,us USA,Crystal Palace,DF,25-032,20.0,18.0,1562.0,1.0,0.0,4.0,1.0,1.2,0.1,5.0,34.0,1.0,0.06,0.0,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.1,11.8,719.0,81.1,10347.0,89.2,90.3,2.0,20.0,0.0,0.0,34.0,7.0,0.4,2.0,0.12,42.0,27.0,38.0,35.0,35.0,13.0,22.0,10.0,935.0,111.0,513.0,371.0,56.0,15.0,6.0,16.7,83.3,433.0,850.0,5.0,5.0,0.0,5.0,5.0,525.0,1.0,11.0,4.0,1.0,1.0,48.0,33.0,48.5,72,€15.7M
Chris Wood,nz NZL,Nott'ham Forest,FW,33-143,31.0,30.0,2509.0,19.0,3.0,1.0,0.0,11.1,2.3,13.0,34.0,74.0,0.68,0.11,0.4,0.08,N/a,N/a,N/a,N/a,58.8,1.08,0.31,14.5,408.0,66.2,3704.0,71.1,66.4,17.0,14.0,8.0,1.0,34.0,39.0,1.4,5.0,0.18,4.0,4.0,8.0,117.0,11.0,7.0,4.0,5.0,637.0,32.0,76.0,307.0,256.0,79.0,11.0,36.4,54.5,316.0,430.0,13.0,9.0,5.0,63.0,23.0,472.0,74.0,22.0,20.0,24.0,1.0,40.0,80.0,40.6,72,€7.8M
Christian Eriksen,dk DEN,Manchester Utd,MF,33-074,20.0,11.0,994.0,0.0,1.0,4.0,0.0,0.3,2.6,10.0,49.0,29.0,0.0,0.09,0.03,0.24,N/a,N/a,N/a,N/a,11.1,0.09,0.0,24.8,689.0,79.5,9150.0,91.9,80.3,23.0,53.0,8.0,2.0,49.0,45.0,4.07,6.0,0.54,19.0,9.0,24.0,5.0,13.0,4.0,9.0,7.0,778.0,24.0,160.0,376.0,246.0,13.0,3.0,0.0,100.0,424.0,677.0,10.0,11.0,0.0,11.0,5.0,514.0,29.0,8.0,3.0,0.0,74.0,59.0,2.0,28.6,72,€4.2M
Christian Nørgaard,dk DEN,Brentford,MF,31-050,29.0,29.0,2369.0,5.0,2.0,5.0,1.0,3.6,0.8,12.0,122.0,34.0,0.19,0.08,0.14,0.03,N/a,N/a,N/a,N/a,33.3,0.42,0.15,14.9,1205.0,81.7,16249.0,87.1,86.1,15.0,119.0,22.0,3.0,122.0,47.0,1.79,9.0,0.34,72.0,44.0,67.0,29.0,47.0,18.0,29.0,42.0,1526.0,153.0,530.0,723.0,288.0,50.0,12.0,50.0,33.3,703.0,1147.0,12.0,12.0,4.0,28.0,18.0,916.0,34.0,37.0,26.0,1.0,13.0,173.0,40.0,58.0,72,€14.4M
Christopher Nkunku,fr FRA,Chelsea,FW,27-166,27.0,9.0,921.0,3.0,2.0,2.0,0.0,4.8,2.1,17.0,25.0,68.0,0.29,0.2,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,334.0,89.5,3928.0,91.6,92.2,14.0,26.0,7.0,0.0,25.0,34.0,3.32,4.0,0.39,12.0,8.0,8.0,22.0,9.0,2.0,7.0,7.0,448.0,10.0,52.0,183.0,217.0,52.0,27.0,37.0,51.9,280.0,628.0,17.0,16.0,13.0,18.0,17.0,356.0,68.0,16.0,11.0,3.0,4.0,29.0,16.0,42.1,72,€51.7M
Cody Gakpo,nl NED,Liverpool,FW,25-357,31.0,19.0,1627.0,9.0,3.0,5.0,0.0,6.4,3.5,48.0,51.0,240.0,0.5,0.17,0.35,0.19,N/a,N/a,N/a,N/a,40.0,1.11,0.18,15.1,546.0,76.0,5915.0,86.5,67.2,33.0,22.0,26.0,8.0,51.0,70.0,3.87,7.0,0.39,26.0,14.0,23.0,22.0,19.0,2.0,17.0,11.0,759.0,20.0,72.0,217.0,486.0,87.0,48.0,58.3,31.3,510.0,1820.0,48.0,30.0,18.0,38.0,19.0,570.0,240.0,17.0,23.0,5.0,64.0,62.0,15.0,40.5,72,€67.5M
Cole Palmer,eng ENG,Chelsea,MF,22-358,33.0,32.0,2831.0,14.0,8.0,6.0,0.0,15.8,9.3,103.0,194.0,165.0,0.45,0.25,0.5,0.3,N/a,N/a,N/a,N/a,36.0,1.27,0.1,20.3,1325.0,76.9,19338.0,85.9,84.8,78.0,145.0,61.0,17.0,194.0,180.0,5.72,14.0,0.45,25.0,16.0,21.0,7.0,14.0,1.0,13.0,8.0,1650.0,20.0,133.0,735.0,804.0,126.0,103.0,45.6,39.8,1046.0,3306.0,103.0,66.0,35.0,61.0,34.0,1219.0,165.0,12.0,55.0,6.0,133.0,93.0,1.0,12.5,72,€115.4M
Conor Coady,eng ENG,Leicester City,DF,32-063,18.0,15.0,1354.0,0.0,0.0,2.0,0.0,0.1,0.1,2.0,28.0,0.0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,100.0,0.07,0.0,9.2,843.0,90.6,13171.0,96.7,96.8,1.0,31.0,2.0,0.0,28.0,4.0,0.27,0.0,0.0,12.0,8.0,5.0,16.0,26.0,19.0,7.0,11.0,958.0,186.0,521.0,421.0,17.0,6.0,2.0,50.0,50.0,636.0,1403.0,2.0,2.0,1.0,4.0,2.0,703.0,0.0,7.0,2.0,1.0,0.0,46.0,13.0,44.8,72,€2.2M
Craig Dawson,eng ENG,Wolves,DF,34-358,15.0,10.0,971.0,0.0,0.0,2.0,0.0,0.5,0.0,6.0,20.0,5.0,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.0,8.5,559.0,86.6,9745.0,92.5,93.0,2.0,22.0,1.0,0.0,20.0,7.0,0.65,2.0,0.19,15.0,3.0,15.0,11.0,16.0,11.0,5.0,9.0,671.0,130.0,396.0,249.0,28.0,14.0,5.0,20.0,40.0,390.0,938.0,6.0,1.0,0.0,2.0,0.0,443.0,5.0,6.0,5.0,2.0,0.0,35.0,21.0,65.6,72,€1.5M
Cristian Romero,ar ARG,Tottenham,DF,27-002,18.0,18.0,1416.0,1.0,0.0,3.0,0.0,1.6,0.6,12.0,71.0,3.0,0.06,0.0,0.1,0.04,N/a,N/a,N/a,N/a,50.0,0.51,0.06,9.1,1223.0,89.5,20402.0,91.4,94.7,7.0,109.0,8.0,1.0,71.0,20.0,1.27,4.0,0.25,35.0,29.0,30.0,27.0,18.0,3.0,15.0,21.0,1377.0,157.0,594.0,720.0,74.0,23.0,4.0,25.0,50.0,896.0,2893.0,12.0,18.0,0.0,10.0,5.0,936.0,3.0,14.0,12.0,2.0,3.0,90.0,41.0,60.3,72,€60.1M
Curtis Jones,eng ENG,Liverpool,"MF,DF",24-089,29.0,16.0,1438.0,3.0,3.0,3.0,1.0,4.1,1.0,23.0,85.0,67.0,0.19,0.19,0.26,0.06,N/a,N/a,N/a,N/a,38.7,0.75,0.1,16.9,881.0,93.2,11932.0,96.9,92.5,19.0,60.0,16.0,0.0,85.0,41.0,2.57,7.0,0.44,34.0,18.0,23.0,12.0,15.0,7.0,8.0,5.0,1040.0,27.0,160.0,555.0,331.0,50.0,16.0,62.5,31.3,632.0,1383.0,23.0,15.0,5.0,22.0,29.0,781.0,67.0,15.0,23.0,1.0,6.0,78.0,13.0,52.0,72,€61.7M
Daichi Kamada,jp JPN,Crystal Palace,MF,28-267,30.0,13.0,1338.0,0.0,0.0,3.0,1.0,1.0,1.8,23.0,73.0,52.0,0.0,0.0,0.07,0.12,N/a,N/a,N/a,N/a,23.5,0.27,0.0,19.4,643.0,79.5,8122.0,87.9,82.0,19.0,39.0,13.0,2.0,73.0,46.0,3.09,3.0,0.2,43.0,25.0,37.0,12.0,19.0,4.0,15.0,16.0,804.0,18.0,172.0,420.0,217.0,28.0,13.0,30.8,53.8,403.0,949.0,23.0,17.0,4.0,13.0,18.0,518.0,52.0,25.0,17.0,2.0,27.0,67.0,3.0,20.0,72,€14.6M
Dan Burn,eng ENG,Newcastle Utd,DF,32-355,33.0,33.0,2970.0,1.0,0.0,10.0,0.0,1.7,0.9,9.0,56.0,10.0,0.03,0.0,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.15,0.05,9.9,1766.0,89.4,28670.0,91.0,94.8,8.0,35.0,7.0,0.0,56.0,21.0,0.64,3.0,0.09,33.0,19.0,32.0,62.0,32.0,23.0,9.0,25.0,2104.0,335.0,1183.0,823.0,103.0,46.0,4.0,75.0,25.0,1203.0,2383.0,9.0,5.0,1.0,21.0,3.0,1417.0,10.0,28.0,11.0,5.0,2.0,91.0,127.0,67.2,72,€9.1M
Dango Ouattara,bf BFA,Bournemouth,FW,23-077,31.0,20.0,1932.0,7.0,4.0,2.0,0.0,8.4,5.2,77.0,41.0,187.0,0.33,0.19,0.39,0.24,N/a,N/a,N/a,N/a,32.3,0.93,0.11,13.5,592.0,59.8,5548.0,72.5,62.5,32.0,20.0,24.0,10.0,41.0,68.0,3.17,6.0,0.28,34.0,25.0,40.0,59.0,34.0,9.0,25.0,11.0,930.0,60.0,160.0,298.0,490.0,127.0,77.0,46.8,41.6,479.0,1706.0,77.0,33.0,38.0,60.0,32.0,559.0,187.0,15.0,19.0,14.0,85.0,88.0,43.0,42.2,72,€28.5M
Daniel Muñoz,co COL,Crystal Palace,DF,28-338,33.0,33.0,2868.0,4.0,4.0,9.0,0.0,4.6,4.4,49.0,83.0,183.0,0.13,0.13,0.14,0.14,N/a,N/a,N/a,N/a,37.5,0.38,0.13,12.3,1324.0,75.8,15308.0,85.7,77.1,39.0,53.0,31.0,13.0,83.0,74.0,2.32,9.0,0.28,109.0,70.0,86.0,73.0,35.0,3.0,32.0,39.0,1788.0,107.0,508.0,743.0,556.0,89.0,50.0,38.0,58.0,695.0,1461.0,49.0,32.0,15.0,50.0,18.0,846.0,183.0,47.0,19.0,13.0,60.0,149.0,56.0,43.4,72,€30.9M
Danny Welbeck,eng ENG,Brighton,FW,34-154,27.0,21.0,1852.0,9.0,4.0,4.0,0.0,8.1,1.1,19.0,40.0,80.0,0.44,0.19,0.39,0.05,N/a,N/a,N/a,N/a,37.7,0.97,0.17,15.2,419.0,84.0,4120.0,86.0,87.6,17.0,15.0,12.0,0.0,40.0,42.0,2.04,6.0,0.29,22.0,13.0,17.0,24.0,16.0,2.0,14.0,5.0,625.0,15.0,48.0,266.0,315.0,90.0,36.0,33.3,58.3,379.0,751.0,19.0,20.0,7.0,44.0,23.0,462.0,80.0,11.0,21.0,3.0,3.0,37.0,15.0,38.5,72,€6M
Dara O'Shea,ie IRL,Ipswich Town,DF,26-056,31.0,31.0,2762.0,0.0,2.0,6.0,0.0,1.1,0.5,3.0,70.0,7.0,0.0,0.07,0.04,0.02,N/a,N/a,N/a,N/a,10.5,0.07,0.0,13.7,1396.0,77.7,21631.0,86.4,84.8,3.0,81.0,3.0,1.0,70.0,20.0,0.65,3.0,0.1,45.0,28.0,31.0,77.0,59.0,47.0,12.0,31.0,1797.0,359.0,1046.0,643.0,113.0,47.0,2.0,50.0,50.0,795.0,1713.0,3.0,2.0,0.0,11.0,4.0,1018.0,7.0,16.0,22.0,3.0,6.0,98.0,100.0,56.5,72,€19.5M
Darwin Núñez,uy URU,Liverpool,FW,25-309,26.0,8.0,1018.0,5.0,2.0,8.0,0.0,5.0,1.2,22.0,27.0,67.0,0.44,0.18,0.44,0.11,N/a,N/a,N/a,N/a,37.5,1.06,0.16,14.5,208.0,70.7,2203.0,80.6,73.8,9.0,9.0,2.0,0.0,27.0,26.0,2.29,4.0,0.35,18.0,15.0,15.0,29.0,6.0,0.0,6.0,3.0,330.0,10.0,43.0,111.0,186.0,62.0,21.0,38.1,57.1,178.0,528.0,22.0,17.0,12.0,21.0,17.0,220.0,67.0,27.0,14.0,11.0,2.0,38.0,16.0,35.6,72,€60.9M
David Raya,es ESP,Arsenal,GK,29-226,34.0,34.0,3060.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.85,75.5,35.3,0.0,N/a,0.0,N/a,N/a,1265.0,74.7,22291.0,99.3,98.4,0.0,39.0,1.0,0.0,12.0,4.0,0.12,1.0,0.03,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1321.0,772.0,1240.0,81.0,0.0,0.0,1.0,100.0,0.0,821.0,2479.0,0.0,0.0,0.0,1.0,0.0,756.0,0.0,1.0,8.0,0.0,0.0,38.0,10.0,100.0,73,€28.9M
Dean Henderson,eng ENG,Crystal Palace,GK,28-048,34.0,34.0,3060.0,0.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,66.9,29.4,50.0,0.0,0.0,0.0,14.9,1087.0,61.8,18496.0,99.4,99.4,2.0,20.0,1.0,0.0,0.0,3.0,0.09,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1173.0,954.0,1169.0,3.0,1.0,1.0,0.0,N/a,N/a,674.0,1919.0,0.0,0.0,0.0,2.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,91.7,74,€22.7M
Dean Huijsen,es ESP,Bournemouth,DF,20-015,28.0,23.0,2144.0,2.0,1.0,8.0,0.0,1.7,2.0,36.0,112.0,10.0,0.08,0.04,0.07,0.08,N/a,N/a,N/a,N/a,11.8,0.08,0.12,12.3,1372.0,83.6,23184.0,89.1,91.4,14.0,142.0,7.0,2.0,112.0,38.0,1.6,3.0,0.13,33.0,23.0,25.0,41.0,35.0,27.0,8.0,49.0,1723.0,229.0,786.0,824.0,122.0,29.0,5.0,40.0,60.0,937.0,3725.0,36.0,24.0,0.0,16.0,1.0,1050.0,10.0,28.0,9.0,2.0,12.0,93.0,63.0,60.6,72,€55M
Declan Rice,eng ENG,Arsenal,MF,26-105,32.0,30.0,2572.0,2.0,7.0,7.0,1.0,2.7,6.5,87.0,175.0,88.0,0.07,0.24,0.09,0.23,N/a,N/a,N/a,N/a,24.4,0.35,0.05,19.7,1537.0,83.6,21932.0,92.4,90.3,55.0,123.0,34.0,5.0,175.0,102.0,3.57,9.0,0.31,49.0,22.0,37.0,23.0,24.0,11.0,13.0,24.0,1806.0,71.0,294.0,846.0,683.0,74.0,26.0,42.3,53.8,960.0,3225.0,87.0,54.0,16.0,36.0,29.0,1182.0,88.0,19.0,15.0,1.0,155.0,139.0,30.0,56.6,72,€107.8M
