Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Alexis Mac Allister,ar ARG,Liverpool,MF,26-126,33.0,30.0,2553.0,5.0,4.0,6.0,0.0,2.8,4.4,34.0,170.0,78.0,0.18,0.14,0.1,0.16,N/a,N/a,N/a,N/a,34.2,0.46,0.13,18.1,1493.0,83.4,19843.0,90.1,88.3,43.0,118.0,34.0,2.0,170.0,118.0,4.16,14.0,0.49,95.0,58.0,101.0,34.0,60.0,6.0,54.0,22.0,1827.0,55.0,279.0,944.0,624.0,60.0,42.0,38.1,50.0,893.0,1924.0,34.0,41.0,5.0,31.0,22.0,1203.0,78.0,60.0,39.0,2.0,84.0,145.0,19.0,35.8,72,€106.1M
Alisson,br BRA,Liverpool,GK,32-209,24.0,24.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.84,71.8,37.5,N/a,N/a,0.0,N/a,N/a,758.0,83.1,13996.0,98.9,98.5,1.0,10.0,0.0,0.0,0.0,6.0,0.25,1.0,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,801.0,577.0,786.0,15.0,0.0,0.0,1.0,100.0,0.0,509.0,1152.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,0.0,2.0,0.0,0.0,41.0,6.0,100.0,72,€24.1M
Alphonse Areola,fr FRA,West Ham,GK,32-061,23.0,22.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,N/a,N/a,0.0,N/a,N/a,873.0,70.4,16400.0,99.3,95.2,0.0,9.0,0.0,0.0,0.0,3.0,0.14,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,927.0,740.0,918.0,10.0,0.0,0.0,0.0,N/a,N/a,530.0,1174.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,100.0,70,€11.8M
Amad Diallo,ci CIV,Manchester Utd,"FW,MF",22-292,22.0,17.0,1594.0,6.0,6.0,3.0,0.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,794.0,82.9,9051.0,90.4,85.3,39.0,25.0,29.0,5.0,53.0,80.0,4.52,16.0,0.9,33.0,26.0,26.0,15.0,10.0,0.0,10.0,11.0,1012.0,13.0,150.0,374.0,504.0,109.0,72.0,50.0,44.4,656.0,2294.0,92.0,46.0,52.0,35.0,32.0,714.0,159.0,19.0,23.0,9.0,38.0,93.0,9.0,37.5,72,€48.5M
Amadou Onana,be BEL,Aston Villa,MF,23-256,22.0,17.0,1348.0,3.0,0.0,4.0,0.0,2.1,0.3,20.0,58.0,13.0,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.4,0.18,14.7,666.0,88.4,9251.0,94.4,89.9,7.0,52.0,8.0,1.0,58.0,25.0,1.67,4.0,0.27,46.0,24.0,24.0,18.0,14.0,6.0,8.0,24.0,836.0,60.0,227.0,490.0,132.0,20.0,17.0,64.7,17.6,459.0,1237.0,20.0,20.0,1.0,10.0,9.0,563.0,13.0,30.0,23.0,0.0,1.0,64.0,25.0,58.1,72,€62.1M
Andreas Pereira,br BRA,Fulham,MF,29-118,31.0,23.0,1879.0,2.0,4.0,7.0,0.0,3.5,4.5,27.0,99.0,78.0,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,931.0,68.9,11658.0,83.6,78.3,56.0,64.0,19.0,4.0,99.0,101.0,4.84,8.0,0.38,22.0,12.0,40.0,21.0,16.0,2.0,14.0,8.0,1096.0,17.0,156.0,446.0,511.0,39.0,29.0,44.8,27.6,556.0,1266.0,27.0,35.0,8.0,26.0,21.0,648.0,78.0,27.0,23.0,1.0,168.0,97.0,12.0,36.4,72,€19M
Andrew Robertson,sct SCO,Liverpool,DF,31-049,31.0,27.0,2308.0,0.0,0.0,3.0,1.0,1.0,4.1,58.0,165.0,95.0,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.0,14.5,1754.0,83.0,24521.0,94.1,86.8,38.0,144.0,28.0,16.0,165.0,75.0,2.92,3.0,0.12,38.0,22.0,47.0,12.0,9.0,4.0,5.0,20.0,1947.0,86.0,500.0,882.0,578.0,50.0,18.0,38.9,55.6,1028.0,2588.0,58.0,48.0,6.0,25.0,11.0,1302.0,95.0,11.0,8.0,2.0,136.0,91.0,6.0,33.3,72,€24M
André,br BRA,Wolves,MF,23-287,29.0,27.0,2170.0,0.0,0.0,7.0,0.0,0.4,0.7,8.0,92.0,11.0,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.04,0.0,25.8,1158.0,92.7,16897.0,95.3,95.2,14.0,97.0,4.0,0.0,92.0,43.0,1.78,3.0,0.12,76.0,46.0,56.0,6.0,40.0,8.0,32.0,32.0,1402.0,80.0,380.0,905.0,131.0,3.0,26.0,50.0,34.6,768.0,1386.0,8.0,14.0,0.0,27.0,17.0,941.0,11.0,34.0,32.0,0.0,0.0,172.0,2.0,25.0,72,€29.8M
André Onana,cm CMR,Manchester Utd,GK,29-027,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.3,69.0,27.3,25.0,N/a,0.0,N/a,N/a,1259.0,73.1,21868.0,99.1,99.0,1.0,24.0,0.0,0.0,1.0,4.0,0.12,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1323.0,1005.0,1302.0,22.0,0.0,0.0,0.0,N/a,N/a,932.0,2615.0,0.0,0.0,0.0,1.0,0.0,810.0,0.0,0.0,2.0,0.0,0.0,33.0,6.0,100.0,71,€34.2M
Anthony Elanga,se SWE,Nott'ham Forest,FW,23-002,33.0,26.0,2052.0,6.0,9.0,1.0,0.0,3.9,4.4,79.0,47.0,164.0,0.26,0.39,0.17,0.19,N/a,N/a,N/a,N/a,45.7,0.7,0.17,16.8,652.0,65.3,6133.0,84.1,63.2,40.0,26.0,23.0,7.0,47.0,82.0,3.6,14.0,0.61,17.0,12.0,16.0,33.0,9.0,1.0,8.0,5.0,900.0,29.0,124.0,259.0,533.0,86.0,73.0,30.1,46.6,468.0,2071.0,79.0,41.0,36.0,65.0,35.0,592.0,164.0,7.0,32.0,13.0,142.0,79.0,22.0,40.0,72,€45.5M
